time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_group,characteristic,school_type,gender,no_schools,t_rwm_eligible_pupils,t_rwm_met_expected_standard,t_rwm_met_higher_standard,t_read_eligible_pupils,t_read_met_expected_standard,t_read_met_higher_standard,t_read_not_achieved_expected_standard,t_read_working_below_assessment,t_read_absent,t_read_unable_to_access_or_just_arrived,t_read_unable_to_access,t_read_avg_scaled_score_eligible_pupils,t_read_sum_scaled_scores,t_gps_eligible_pupils,t_gps_met_expected_standard,t_gps_met_higher_standard,t_gps_not_achieved_expected_standard,t_gps_working_below_assessment,t_gps_absent,t_gps_unable_to_access_or_just_arrived,t_gps_unable_to_access,t_gps_avg_scaled_score_eligible_pupils,t_gps_sum_scaled_scores,t_mat_eligible_pupils,t_mat_met_expected_standard,t_mat_met_higher_standard,t_mat_not_achieved_expected_standard,t_mat_working_below_assessment,t_mat_absent,t_mat_unable_to_access_or_just_arrived,t_mat_unable_to_access,t_mat_avg_scaled_score_eligible_pupils,t_mat_sum_scaled_scores,t_writta_eligible_pupils,t_writta_met_expected_standard,t_writta_met_higher_standard,t_writta_working_towards_expected_standard,t_writta_pre_key_stage_standard_6,t_writta_pre_key_stage_standard_5,t_writta_pre_key_stage_standard_4,t_writta_pre_key_stage_standard_3,t_writta_pre_key_stage_standard_2,t_writta_pre_key_stage_standard_1,t_writta_growing_development_of_expected_standard,t_writta_early_development_of_expected_standard,t_writta_foundations_of_expected_standard,t_writta_engagement_model_or_below_pre_key_stage_standards,t_writta_below_interim_pre_key_stage_standards,t_writta_absent,t_writta_disapplied,t_scita_eligible_pupils,t_scita_met_expected_standard,t_scita_not_met_expected_standard,t_scita_absent,t_scita_disapplied,pt_rwm_met_expected_standard,pt_rwm_met_higher_standard,pt_read_met_expected_standard,pt_read_met_higher_standard,pt_read_not_achieved_expected_standard,pt_read_working_below_assessment,pt_read_absent,pt_read_unable_to_access_or_just_arrived,pt_read_unable_to_access,avg_read_scaled_score,pt_gps_met_expected_standard,pt_gps_met_higher_standard,pt_gps_not_achieved_expected_standard,pt_gps_working_below_assessment,pt_gps_absent,pt_gps_unable_to_access_or_just_arrived,pt_gps_unable_to_access,avg_gps_scaled_score,pt_mat_met_expected_standard,pt_mat_met_higher_standard,pt_mat_not_achieved_expected_standard,pt_mat_working_below_assessment,pt_mat_absent,pt_mat_unable_to_access_or_just_arrived,pt_mat_unable_to_access,avg_mat_scaled_score,pt_writta_met_expected_standard,pt_writta_met_higher_standard,pt_writta_working_towards_expected_standard,pt_writta_pre_key_stage_standard_6,pt_writta_pre_key_stage_standard_5,pt_writta_pre_key_stage_standard_4,pt_writta_pre_key_stage_standard_3,pt_writta_pre_key_stage_standard_2,pt_writta_pre_key_stage_standard_1,pt_writta_growing_development_of_expected_standard,pt_writta_early_development_of_expected_standard,pt_writta_foundations_of_expected_standard,pt_writta_engagement_model_or_below_pre_key_stage_standards,pt_writta_below_interim_pre_key_stage_standards,pt_writta_absent,pt_writta_disapplied,pt_scita_met_expected_standard,pt_scita_not_met_expected_standard,pt_scita_absent,pt_scita_disapplied
201516,Academic year,National,E92000001,England,Final,School cohort size,1 to 15 pupils,State-funded mainstream schools,Total,2323,23546,12586,1212,23580,16664,5302,6303,528,46,z,23,22869,2367823,23579,16682,4414,6299,504,60,z,19,22980,2373641,23580,16125,3395,6853,498,68,z,19,22974,2355436,23546,16862,3683,5282,z,z,z,z,z,z,830,296,127,z,63,27,59,23546,19674,3787,30,55,53,5,71,22,27,2,0,z,0,104,71,19,27,2,0,z,0,103,68,14,29,2,0,z,0,103,72,16,22,z,z,z,z,z,z,4,1,1,z,0,0,0,84,16,0,0
201516,Academic year,National,E92000001,England,Final,School cohort size,16 to 30 pupils,State-funded mainstream schools,Total,5207,132412,72411,7329,132520,89493,25630,39772,2931,230,z,74,128617,13220283,132514,97554,29696,31874,2750,231,z,75,129415,13458260,132515,94553,21725,34852,2718,278,z,71,129375,13337611,132414,98934,19759,25850,z,z,z,z,z,z,4701,1511,781,z,247,82,308,132410,108543,23473,93,301,55,6,68,19,30,2,0,z,0,103,74,22,24,2,0,z,0,104,71,16,26,2,0,z,0,103,75,15,20,z,z,z,z,z,z,4,1,1,z,0,0,0,82,18,0,0
201516,Academic year,National,E92000001,England,Final,School cohort size,31 to 60 pupils,State-funded mainstream schools,Total,5541,263625,141191,13839,263801,173716,47822,83081,6281,486,z,157,255328,26153309,263798,192457,59059,64705,5864,503,z,150,257132,26722912,263797,185694,43260,71738,5584,559,z,161,257354,26504923,263627,196596,38152,50948,z,z,z,z,z,z,9966,3180,1441,z,582,305,609,263630,213446,49243,330,611,54,5,66,18,31,2,0,z,0,102,73,22,25,2,0,z,0,104,70,16,27,2,0,z,0,103,75,14,19,z,z,z,z,z,z,4,1,1,z,0,0,0,81,19,0,0
201516,Academic year,National,E92000001,England,Final,School cohort size,61 to 90 pupils,State-funded mainstream schools,Total,1398,105913,57587,6074,105978,70342,19915,32933,2341,200,z,78,102691,10535021,105976,78774,25704,24620,2227,196,z,77,103385,10783306,105975,75320,18956,28163,2097,234,z,78,103460,10682749,105917,80364,16532,19861,z,z,z,z,z,z,3498,1156,539,z,186,100,213,105912,87055,18548,113,196,54,6,66,19,31,2,0,z,0,103,74,24,23,2,0,z,0,104,71,18,27,2,0,z,0,103,76,16,19,z,z,z,z,z,z,3,1,1,z,0,0,0,82,18,0,0
201516,Academic year,National,E92000001,England,Final,School cohort size,91+ pupils,State-funded mainstream schools,Total,461,53277,28849,3115,53329,35756,10802,16411,1019,107,z,35,51888,5334746,53329,39209,12805,13021,956,110,z,33,52225,5439099,53326,37266,9706,15030,872,125,z,33,52284,5391807,53277,40442,8065,10082,z,z,z,z,z,z,1821,498,249,z,69,42,74,53280,44457,8707,51,65,54,6,67,20,31,2,0,z,0,103,74,24,24,2,0,z,0,104,70,18,28,2,0,z,0,103,76,15,19,z,z,z,z,z,z,3,1,0,z,0,0,0,83,16,0,0
201516,Academic year,National,E92000001,England,Final,School phase,Junior,State-funded mainstream schools,Total,1099,79375,44128,4793,79432,54190,16082,23474,1557,145,z,56,77312,7960989,79429,58804,18996,18935,1430,151,z,51,77733,8100417,79426,56454,14320,21385,1346,185,z,56,77825,8035418,79377,60956,12724,14832,z,z,z,z,z,z,2318,698,307,z,110,73,83,79378,66512,12697,87,82,56,6,68,20,30,2,0,z,0,103,74,24,24,2,0,z,0,104,71,18,27,2,0,z,0,103,77,16,19,z,z,z,z,z,z,3,1,0,z,0,0,0,84,16,0,0
201516,Academic year,National,E92000001,England,Final,School phase,Middle,State-funded mainstream schools,Total,143,15677,8003,688,15693,10491,3173,4912,232,50,z,8,15317,1573932,15693,10915,3025,4501,216,52,z,9,15414,1589097,15692,10139,2109,5293,193,56,z,11,15426,1572454,15677,11859,2125,3097,z,z,z,z,z,z,464,145,66,z,9,18,19,15677,13339,2306,23,9,51,4,67,20,31,1,0,z,0,103,70,19,29,1,0,z,0,103,65,13,34,1,0,z,0,102,76,14,20,z,z,z,z,z,z,3,1,0,z,0,0,0,85,15,0,0
201516,Academic year,National,E92000001,England,Final,School phase,Other,State-funded mainstream schools,Total,86,4617,2189,196,4621,2806,696,1685,115,11,z,4,4448,451026,4621,3083,915,1411,113,11,z,3,4492,461854,4621,3059,685,1450,99,10,z,3,4506,460171,4617,3299,610,976,z,z,z,z,z,z,222,51,26,z,19,7,17,4617,3539,1052,9,17,47,4,61,15,36,2,0,z,0,101,67,20,31,2,0,z,0,103,66,15,31,2,0,z,0,102,71,13,21,z,z,z,z,z,z,5,1,1,z,0,0,0,77,23,0,0
201516,Academic year,National,E92000001,England,Final,School phase,Primary,State-funded mainstream schools,Total,13602,479104,258304,25892,479462,318484,89520,148429,11196,863,z,299,464316,47625235,479453,351874,108742,115672,10542,886,z,291,467498,48625850,479454,339306,79928,128508,10131,1013,z,292,467690,48204483,479110,357084,70732,93118,z,z,z,z,z,z,17812,5747,2738,z,1009,458,1144,479106,389785,87703,498,1120,54,5,66,19,31,2,0,z,0,103,73,23,24,2,0,z,0,104,71,17,27,2,0,z,0,103,75,15,19,z,z,z,z,z,z,4,1,1,z,0,0,0,81,18,0,0
201516,Academic year,National,E92000001,England,Final,School religious character,Church of England,State-funded mainstream schools,Total,4002,112614,62857,6724,112679,78860,24771,31392,2090,225,z,68,109767,11348601,112674,83270,25866,27055,1951,239,z,67,110317,11482418,112674,80037,19344,30334,1953,248,z,66,110354,11382743,112616,84381,17379,22466,z,z,z,z,z,z,3681,1128,493,z,161,84,222,112614,93975,18308,98,233,56,6,70,22,28,2,0,z,0,103,74,23,24,2,0,z,0,104,71,17,27,2,0,z,0,103,75,15,20,z,z,z,z,z,z,3,1,0,z,0,0,0,83,16,0,0
201516,Academic year,National,E92000001,England,Final,School religious character,Jewish,State-funded mainstream schools,Total,30,1274,860,122,1274,1011,381,245,18,0,z,0,1254,132307,1274,1078,416,177,18,1,z,0,1255,133548,1274,1042,352,215,16,1,z,0,1257,132694,1274,1039,257,198,z,z,z,z,z,z,28,3,5,z,0,0,1,1274,1126,146,0,2,68,10,79,30,19,1,0,z,0,106,85,33,14,1,0,z,0,106,82,28,17,1,0,z,0,106,82,20,16,z,z,z,z,z,z,2,0,0,z,0,0,0,88,11,0,0
201516,Academic year,National,E92000001,England,Final,School religious character,Methodist,State-funded mainstream schools,Total,22,569,307,35,569,374,105,180,12,3,z,0,552,56733,569,414,118,142,12,1,z,0,556,57721,569,409,98,148,10,2,z,0,557,57509,569,446,88,97,z,z,z,z,z,z,15,5,3,z,0,2,1,569,490,76,2,1,54,6,66,18,32,2,1,z,0,103,73,21,25,2,0,z,0,104,72,17,26,2,0,z,0,103,78,15,17,z,z,z,z,z,z,3,1,1,z,0,0,0,86,13,0,0
201516,Academic year,National,E92000001,England,Final,School religious character,Muslim,State-funded mainstream schools,Total,8,379,240,18,379,267,62,107,5,0,z,0,374,38566,379,306,104,68,5,0,z,0,374,39446,379,303,81,71,5,0,z,0,374,39118,379,334,91,39,z,z,z,z,z,z,1,1,3,z,0,0,1,379,329,49,0,1,63,5,70,16,28,1,0,z,0,103,81,27,18,1,0,z,0,105,80,21,19,1,0,z,0,105,88,24,10,z,z,z,z,z,z,0,0,1,z,0,0,0,87,13,0,0
201516,Academic year,National,E92000001,England,Final,School religious character,No religious character,State-funded mainstream schools,Total,9187,405896,214103,20938,406249,263955,71590,131047,10044,773,z,273,392604,40150026,406243,293855,89456,101728,9456,792,z,262,395537,41065379,406239,283416,65913,112486,8971,928,z,271,395783,40727296,405902,302210,59322,78620,z,z,z,z,z,z,15399,5003,2398,z,902,433,937,405898,328505,76019,473,901,53,5,65,18,32,2,0,z,0,102,72,22,25,2,0,z,0,104,70,16,28,2,0,z,0,103,74,15,19,z,z,z,z,z,z,4,1,1,z,0,0,0,81,19,0,0
201516,Academic year,National,E92000001,England,Final,School religious character,Other Christian faith,State-funded mainstream schools,Total,71,2551,1409,143,2552,1740,529,772,34,6,z,0,2497,256707,2552,1847,556,664,35,5,z,1,2511,260490,2552,1787,418,724,31,8,z,2,2510,258080,2551,1910,379,522,z,z,z,z,z,z,86,19,11,z,1,2,0,2551,2114,435,2,0,55,6,68,21,30,1,0,z,0,103,72,22,26,1,0,z,0,104,70,16,28,1,0,z,0,103,75,15,20,z,z,z,z,z,z,3,1,0,z,0,0,0,83,17,0,0
201516,Academic year,National,E92000001,England,Final,School religious character,Other religious character,State-funded mainstream schools,Total,1,c,c,c,c,c,c,c,c,c,z,c,c,c,c,c,c,c,c,c,z,c,c,c,c,c,c,c,c,c,z,c,c,c,c,c,c,c,z,z,z,z,z,z,c,c,c,z,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,z,c,c,c,c,c,c,c,z,c,c,c,c,c,c,c,z,c,c,c,c,c,z,z,z,z,z,z,c,c,c,z,c,c,c,c,c,c,c
201516,Academic year,National,E92000001,England,Final,School religious character,Roman Catholic,State-funded mainstream schools,Total,1606,55280,32716,3576,55296,39616,11998,14699,893,62,z,26,54139,5607110,55295,43726,15094,10657,822,62,z,24,54379,5716089,55296,41788,10769,12626,781,77,z,23,54404,5653135,55280,42720,8650,10035,z,z,z,z,z,z,1602,481,224,z,83,35,100,55283,46456,8696,42,89,59,6,72,22,27,2,0,z,0,104,79,27,19,1,0,z,0,105,76,19,23,1,0,z,0,104,77,16,18,z,z,z,z,z,z,3,1,0,z,0,0,0,84,16,0,0
201516,Academic year,National,E92000001,England,Final,School religious character,Sikh,State-funded mainstream schools,Total,3,178,108,13,178,120,22,54,4,0,z,0,174,17712,178,148,50,28,2,0,z,0,176,18587,178,145,53,31,2,0,z,0,176,18481,178,133,25,39,z,z,z,z,z,z,4,1,0,z,0,0,1,178,156,21,0,1,61,7,67,12,30,2,0,z,0,102,83,28,16,1,0,z,0,106,81,30,17,1,0,z,0,105,75,14,22,z,z,z,z,z,z,2,1,0,z,0,0,1,88,12,0,1
201516,Academic year,National,E92000001,England,Final,School type,Academies and free schools,Academies and free schools,Boys,2631,59085,29426,2635,59148,36509,9217,20757,1706,126,z,48,56743,5762312,59145,39549,10618,17818,1594,137,z,47,57355,5890290,59143,41557,10557,15918,1460,150,z,48,57453,5924323,59087,40968,6344,13389,z,z,z,z,z,z,2899,1015,448,z,145,70,153,59085,46823,12037,76,149,50,4,62,16,35,3,0,z,0,102,67,18,30,3,0,z,0,103,70,18,27,2,0,z,0,103,69,11,23,z,z,z,z,z,z,5,2,1,z,0,0,0,79,20,0,0
201516,Academic year,National,E92000001,England,Final,School type,Academies and free schools,Academies and free schools,Girls,2630,57330,32376,3395,57378,39422,11869,16843,998,84,z,30,56031,5772106,57377,44119,14733,12209,945,77,z,26,56325,5896592,57376,39735,8245,16526,968,101,z,32,56243,5768643,57331,46666,10535,8252,z,z,z,z,z,z,1490,455,217,z,94,46,111,57331,47442,9727,48,114,56,6,69,21,29,2,0,z,0,103,77,26,21,2,0,z,0,105,69,14,29,2,0,z,0,103,81,18,14,z,z,z,z,z,z,3,1,0,z,0,0,0,83,17,0,0
201516,Academic year,National,E92000001,England,Final,School type,Academies and free schools,Academies and free schools,Total,2638,116415,61802,6030,116526,75931,21086,37600,2704,210,z,78,112774,11534418,116522,83668,25351,30027,2539,214,z,73,113680,11786882,116519,81292,18802,32444,2428,251,z,80,113696,11692966,116418,87634,16879,21641,z,z,z,z,z,z,4389,1470,665,z,239,116,264,116416,94265,21764,124,263,53,5,65,18,32,2,0,z,0,102,72,22,26,2,0,z,0,104,70,16,28,2,0,z,0,103,75,14,19,z,z,z,z,z,z,4,1,1,z,0,0,0,81,19,0,0
201516,Academic year,National,E92000001,England,Final,School type,All schools,All schools,Boys,15933,301688,150141,13987,302415,188012,48366,100752,12570,706,z,287,286657,29200552,302381,204161,55893,85046,12050,735,z,282,289157,29786136,302417,211477,55181,78395,11328,860,z,266,289787,29930857,301696,204176,32632,70685,z,z,z,z,z,z,14334,5244,3003,z,3100,388,766,301622,237494,62798,424,906,50,5,62,16,33,4,0,z,0,102,68,18,28,4,0,z,0,103,70,18,26,4,0,z,0,103,68,11,23,z,z,z,z,z,z,5,2,1,z,1,0,0,79,21,0,0
201516,Academic year,National,E92000001,England,Final,School type,All schools,All schools,Girls,15743,289248,165813,18071,289830,202719,63033,79793,6594,477,z,134,281386,29101275,289814,225255,77522,57482,6332,483,z,123,282719,29686854,289819,202134,43271,80414,6452,569,z,137,282459,29037163,289260,233052,54679,43072,z,z,z,z,z,z,7211,2269,1288,z,1570,243,555,289086,240182,48014,270,620,57,6,70,22,28,2,0,z,0,103,78,27,20,2,0,z,0,105,70,15,28,2,0,z,0,103,81,19,15,z,z,z,z,z,z,2,1,0,z,1,0,0,83,17,0,0
201516,Academic year,National,E92000001,England,Final,School type,All schools,All schools,Total,16027,590936,315954,32058,592245,390731,111399,180545,19164,1183,z,421,568043,58301827,592195,429416,133415,142528,18382,1218,z,405,571876,59472990,592236,413611,98452,158809,17780,1429,z,403,572246,58968020,590956,437228,87311,113757,z,z,z,z,z,z,21545,7513,4291,z,4670,631,1321,590708,477676,110812,694,1526,53,5,66,19,30,3,0,z,0,103,73,23,24,3,0,z,0,104,70,17,27,3,0,z,0,103,74,15,19,z,z,z,z,z,z,4,1,1,z,1,0,0,81,19,0,0
201516,Academic year,National,E92000001,England,Final,School type,Alternative provision,Alternative provision,Boys,65,294,7,0,312,34,5,191,64,9,z,14,198,18127,312,21,1,203,59,13,z,16,223,20220,312,16,1,211,53,18,z,14,226,20326,294,21,0,132,z,z,z,z,z,z,77,30,16,z,4,12,2,289,40,226,13,10,2,0,11,2,61,21,3,z,4,92,7,0,65,19,4,z,5,91,5,0,68,17,6,z,4,90,7,0,45,z,z,z,z,z,z,26,10,5,z,1,4,1,14,78,4,3
201516,Academic year,National,E92000001,England,Final,School type,Alternative provision,Alternative provision,Girls,19,24,0,0,28,4,0,17,5,1,z,1,20,1892,28,4,0,16,6,1,z,1,20,1877,28,1,0,19,5,2,z,1,19,1749,24,2,0,9,z,z,z,z,z,z,6,4,3,z,0,0,0,25,5,20,0,0,0,0,14,0,61,18,4,z,4,95,14,0,57,21,4,z,4,94,4,0,68,18,7,z,4,92,8,0,38,z,z,z,z,z,z,25,17,13,z,0,0,0,20,80,0,0
201516,Academic year,National,E92000001,England,Final,School type,Alternative provision,Alternative provision,Total,69,318,7,0,340,38,5,208,69,10,z,15,218,20019,340,25,1,219,65,14,z,17,243,22097,340,17,1,230,58,20,z,15,245,22075,318,23,0,141,z,z,z,z,z,z,83,34,19,z,4,12,2,314,45,246,13,10,2,0,11,1,61,20,3,z,4,92,7,0,64,19,4,z,5,91,5,0,68,17,6,z,4,90,7,0,44,z,z,z,z,z,z,26,11,6,z,1,4,1,14,78,4,3
